Registro,Estado,fMP,sFSB
MUSE_20180112_140243_67000,SB,0.9001800360072014,9520
MUSE_20180119_171353_86000,SB,0.9001800360072014,15489
MUSE_20180115_133859_76000,SB,3.800760152030406,7624
MUSE_20180113_180006_45000,SB,3.500700140028006,3848
MUSE_20180112_072033_34000,SB,3.000600120024005,2075
MUSE_20180115_125748_93000,SB,3.700740148029606,8046
MUSE_20180113_130400_28000,SB,0.7001400280056012,6445
MUSE_20180114_115142_74000,SB,3.800760152030406,4963
MUSE_20180116_182325_30000,SB,3.000600120024005,9799
MUSE_20180118_181833_35000,SB,2.400480096019204,2271
MUSE_20180114_071637_93000,SB,3.6007201440288057,13115
MUSE_20180114_080217_23000,SB,0.8001600320064013,5073
MUSE_20180113_174033_43000,SB,2.8005601120224046,5723
MUSE_20180112_133525_62000,SB,0.8001600320064013,3363
MUSE_20180113_135804_79000,SB,0.9001800360072014,6149
MUSE_20180113_123446_37000,SB,3.6007201440288057,4370
MUSE_20180115_131747_00000,SB,3.800760152030406,8491
MUSE_20180114_132935_54000,SB,0.7001400280056012,4487
MUSE_20180113_124928_28000,SB,0.9001800360072014,12814
MUSE_20180114_120440_62000,SB,2.7005401080216043,1669
MUSE_20180112_130726_69000,SB,0.9001800360072014,3413
MUSE_20180114_123005_60000,SB,2.9005801160232045,9691
MUSE_20180113_172722_14000,SB,3.800760152030406,2814
MUSE_20180113_184715_75000,SB,3.700740148029606,3616
MUSE_20180115_130223_43000,SB,1.7003400680136027,2958
MUSE_20180114_132541_67000,SB,2.6005201040208044,1804
MUSE_20180113_173849_52000,SB,0.8001600320064013,6229
MUSE_20180119_174810_82000,SB,2.400480096019204,15421
MUSE_20180112_165513_25000,SB,3.6007201440288057,2136
MUSE_20180116_132627_86000,SB,3.700740148029606,9353
MUSE_20180115_123113_89000,SB,5.201040208041609,4099
MUSE_20180116_180106_74000,SB,0.8001600320064013,6237
MUSE_20180113_125842_49000,SB,0.8001600320064013,1941
MUSE_20180120_122440_80000,SB,3.700740148029606,9617
MUSE_20180113_134757_99000,SB,0.8001600320064013,3961
